labels,clean_text_g
0,4886168031610116803 139781463958591077224121 14821741013173168036175 10143585961756175 101434682585913978258871803613978 107722412113978168031463958591014313978628 101437410241211610116803146396285859139781077274102412158596175 4886585911275 131731077258596175741025887135316803 2103974101463914821585913978 1482158592484816803 180367410628628107727707617516803 101434682585913978258871803613978 58592412162848861680314639 2103974106175617574104886135318036 26631353168036281397810772741024121 585913173148211077213978 14821107726281397858592484816803 10143468258596175617516803241212588716803 10772241211014374101463914639168031014313978 180361463916803148211077262816803 146391680317492168031014313978 10772241215859180361803614639741018036146391077258591397816803 1463916803266313531680362813978 4682139781397818036628 101437410 13173741016101248481482121056 10143488621039 
0,101434682585913978258871803613978 468216803585914639 77077410628 1482113536281077210143 4682139781397818036 101437410 2484821039741062810772101435859210391014314821 
2,101434682585913978258871803613978 585962824848 1317316803628107722588724121 180361077218036168036175107722412116803 24848107722412113173 1077214821180361463916803628628107721610116803 4682139781397818036 101437410 77071317377071077216803146392412122205859 
0,139781463911275 24121168034886617511275 1463916803617516803585962816803 101434682585913978258871803613978 58591482118036 585962824848 14821135362813978 16101107726281077213978 1463916803628139787410 161015859241211014374101353161011680314639 4682139781397818036 101437410 22201353266358592412117492 24848 4682139781397818036628 101437410 174922103946822412122205859468261751680324121 
1,101434682585913978258871803613978 6175107722484816803 1014346825859139782588725887 
1,101434682585913978258871803613978 5859770762813531463913173617511275 258877410741013173 6287410148211680348864682585913978 488616803107721463913173 26631353168031463911275 258871680324121168031463958596175 1803613531463918036741062816803 1014346825859139787707741013978 1482116803585924121 61757410741024848 2103974107410139782412174101397816803 4682139781397818036 101437410 2105616803241214886 16803 25887241214682 
0,101434682585913978258871803613978 258871680313978 1463916803617516803585962816803 6281680316803 2103913531397813531463916803 1014374101353617513173 146391680318036617558591014316803 258877410741025887617516803 107722412121039741014639148215859139781077274102412158596175 26631353168031463911275 24121 241214682139781397818036628 101437410 468221039 468221056241211127574102484810772 4682139781397818036 101437410 14821180362412113537410488616803 
2,180366175585911275 24121168034886 101434682585913978258871803613978 6281353180361680314639 21039135324121 1077214821180361463916803628628107721610116803 1482158592412111275 4886585911275 628139781077261756175 26631353107721397816803 21039585914639 146391680361751077258597707617516803 4682139781397818036628 101437410 25887 11275770710143 24121 1610118036 
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 741014821 21056210562103916101 4682139781397818036 101437410 248482663 1127525887248482484821039 
1,101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 168031317346826286175 26632412148865859 4682139781397818036 101437410 21039 258872663468217492161012663 
0,101434682585913978258871803613978 585910772 7410180361680324121585910772 628585911275 139781077224121135377071353 18036146391680362810772131731680324121139781077258596175 585962818036107721463958591397810772741024121 131731680362818036107721397816803 21039146395859107726175 46821680358596175139784682 4682107726281397874101463911275 10143741014639146391353180361397810772741024121 4682139781397818036 101437410 5859617513978 62813531127522201610118036 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 24848 1610111275258871077224848 139782220 4682139781397818036 101437410 18036222021039628 1014324848 
2,101434682585913978258871803613978 58592412162848861680314639 131731077221039210391680314639168032412113978617511275 131731680318036168032412113173 25887741013173 1680324121139781680314639 101434682585913978 1077213173168035859 628135325887258871680362813978 1803616803741018036617516803 180367410139781680324121139781077258596175 2588714639168035859139782412116803628628 488674101463913978468211275 617574101610116803 1014358591463916803 135324121107722663135316803 101437410241212412116803101431397810772741024121 131731077216101107722412116803 4682139781397818036 101437410 21039 2588724121 2412113534886 18036 4682139781397818036 101437410 61751317314639135377076281482146821803621056 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 4682139781397818036628 101437410 24848 21056139781077213978112752484858596175 24121 180367410107722412113978 1014374101482114821168032412113978 4682139781397818036628 101437410 46821680321056 74102220 
1,101434682585913978258871803613978 146391680314821107722412113173 1127516803628 14821107722412110772628139781680314639 4682139781397818036 101437410 48866282588714821168032588713978161012663 
2,180366175585911275 101434682585913978258871803613978 24121 241211077213978 146391680358596175617511275 258871463916803585913978 24121 241211014358592412124121741013978 168032105658591014313978617511275 2103974106175617574104886 1014374102412116101168031463962858591397810772741024121 25887107721610116803 1014374101463914639168031014313978 58592412162848861680314639 1482158592412111275 26631353168036281397810772741024121 4682139781397818036628 101437410 161012484877072663741016101468246821482114821 4682139781397818036 101437410 101432484848866175241212412113532103926636175 
0,7410180361680324121585910772 101434682585913978258871803613978 1463916803617516803585962816803 628107722412125887617516803 77071077225887 1397846821463916803585913978 258877410741025887617516803 62816803585914639101434682 
2,101434682585913978258871803613978 6175107722484816803 18036168031463962874102412158596175 585910772 5859628628107726281397858592412113978 585961754886585911275628 468216803617518036 4886468258591397816803161011680314639 24121168031680313173 585910772 139784886168031680313978 488614639107721397816803 101434682585913978258871803613978 4682139781397818036 101437410 4886 241211353248482105616803 6175 4682139781397818036 101437410 210567410468225887174927410112756175 
0,139787410146391397813531463916803 24121168034886 258871803613978 14821741013173168036175 14639168036281353617513978 77071463916803585913978468213978585924848107722412125887 24121 241214682139781397818036628 101437410 58594682 1749211275139781014321039266318036 4682139781397818036 101437410 14821222014821 18036139781463910772 
1,180366175585911275 101434682585913978258871803613978 1463924121 107721610116803 1482174101610116803 58592588710772 139781077214821168036175107722412116803 13978741013173585911275 
2,16803210561014310772139781680313173 1463916803617516803585962816803 101434682585913978258871803613978 585910772 1014374102412116101168031463962858591397810772741024121 21039146391680316803 48865859107721397861751077262813978 1014374101482116803 585962824848 26631353168036281397810772741024121 4682139781397818036 101437410 241211317321056139786175 61752103914639 
0,7410180361680324121585910772 24121168034886 101434682585913978 7707741013978 101434682585913978258871803613978 131731680316101168036175741018036 24121 1482158592412111275 5859617510772258872412114821168032412113978 1463916803628168035859146391014346821680314639 24121 1482158592412111275 1317316803161011680361757410180361680314639 468258591397816803 62814821585961756175 139785859617524848 24121 16803585914639617511275 139781680362813978 1317316803148217410 48867410146391463911275 617510772148211077213978 14639168036281803674102412162816803 
0,1680361751077222205859 24121 24121139781463911275 24121168034886 7410180361680324121585910772 101434682585913978258871803613978 4682139781397818036 101437410 77072484810143 18036112752663488618036 24121 2412110772 585962824848 180367410107722412113978 61751077214821107721397858591397810772741024121 585924121101431680362813978741014639 4682139781397818036628 101437410 2220741062814821139787410210395859488614639 
1,58591014313978135358596175617511275 6287410741074107410 10143741074106175 7410180361680324121585910772628 101434682585913978258871803613978 131731680314639107721610116803 16803135361751680314639 6175585925887146395859241212588716803 168032663135358591397810772741024121 628168031680314821 1014374101463914639168031014313978 4682139781397818036 101437410 1680314639112752663 617511275 16101 
0,101434682585913978258871803613978 7410180361680324121585910772 6175107721610116803 4682139781397818036 101437410 16101180366281749216101146391463977071610124121 
1,25887741024121 241215859 101434682585913978258871803613978 7410180361680324121 628168031014374102412113173 148217410241211077213978741014639 13978107721482116803 25887741024121 241215859 18036135313978 1014358591482116803146395859 135362816803 14821168031680313978107722412125887 25887741024121 241215859 13978112751803616803 26631353168036281397810772741024121 1463916803585913173 58592412162848861680314639 101437410617513173 6175107722484816803 1397816803617516803180361463974101482118036139781680314639 
0,161011077216101107721317316803628107722588724121 25887146397410135318036 101434682585913978258871803613978 258871803613978 1014346825859139787707741013978 7410180361680324121585910772 139781680362813978 4682139781397818036 101437410 258871077221039148211463914821 10143585961756175 1353 
0,585962824848 101434682585913978258871803613978 77071803616803 14821585924121135358596175617511275 6284682741013536175131735859 18036107721014324848 62814821139784682 26631353107721014324848 7707146397410488624121 21039741021056 168034682 24121 24121146396175468221039 131731680321039 628168031680314821 1482158592484816803 6175617514821 18036 14639168031803616803139781077213978107721610116803 131731680362818036107721397816803 1014358591803658597707617516803 585914639168035859 4682139781397818036628 101437410 1482110772 101431680314639241216175 
1,101434682585913978258871803613978 168032105618036617558591077224121 13173107722103921039168031463916803241211014316803 135313978210567410 58591482118036 58591014310143741013532412113978 7707585962816803 770761757410101432484810143468258591077224121628 24121168032105613978 628139781680318036 2588713978 26631353168031463911275 770761757410101432484810143468258591077224121 131735859139785859 135362816803 617558592412125887135358592588716803 10772241211397816803146392103958591014316803 4682139781397818036 101437410 11275174921463926631463946821749224848 21056 
0,7410180361680324121585910772628 24121168034886 101434682585913978258871803613978 5859180361803616803585914639 13173168032103916803585913978 468274102103962813978585913173139781680314639 77071680324121131731680314639 61751077262813978 4682585961756175135310143107722412158591397810772741024121 10772241211317313531014316803 26631353168036281397810772741024121 18036135377076175107726284682 16803101437410241217410148211077262813978 1749213532412116803 131731680314821741024121628139781463958591397816803 4682741061756175741048862412116803628628 258871803613978 1353241211317316803146396281397858592412113173107722412125887 4886741014639617513173 4682139781397818036 101437410 1397813173 2484821056266316803 161015859 4682139781397818036 101437410 21039468224121266318036 241214886 25887 
2,101434682585913978258871803613978 61755859135324121101434682 1397814639107721680313173 628101431680324121585914639107727410 5859148215859222016803 24121 241214682139781397818036628 101437410 13537707222017492146394682 58591397824848 4682139781397818036 101437410 25887 22201680324848112754682168031680316803 
2,101434682585913978258871803613978 13978146391353617511275 1077214821180361463916803628628 21039107721463962813978 101434682585913978 617558592412125887135358592588716803 14821741013173168036175 58591014313978135358596175617511275 1077214821180361463916803628628107721610116803 
1,7410180361680324121585910772 24121168034886 101434682585913978258871803613978 10143146395859222011275 258877410741013173 1482158592412111275 139784682107722412125887 4682139781397818036628 101437410 585914821174921482113173741021056107721482116803 
1,21039107721463962813978 1317358596175617516803 101434682585913978258871803613978 7410180361680324121585910772 10143741074106175 139784682107722412125887 4682139781397818036628 101437410 7707222048865859210562484846821749262824848 
0,258871803613978 7410210392103910772101431077258596175 24121 241214682139781397818036628 101437410 48861463946821397811275 62811275 4682139781397818036 101437410 14821241212412114639107721463913978222010143 
0,101434682585913978258871803613978 46827410617513173 180367410139781680324121139781077258596175 58592412162848861680314639 770758596281077210143 26631353168036281397810772741024121 4682139781397818036628 101437410 1482124121 48866286175 7707 
2,1014374102412116101168031463962858591397810772741024121 46825859617561751482158591463924848 58592588716803 7410180361680324121585910772 101434682585913978258871803613978 146391680358596175617511275 5859148215859222016803 46827410241211680362813978 4682139781397818036 101437410 258877707248482484822201482162810143 16101 
0,101434682585913978258871803613978 180361680313173585924121139781077210143 1014374101482116803 14821585924121 4682139781397818036628 101437410 11275770774102220210566175628 
2,6281397858591463913978 180366175585911275 7410180361680324121585910772 101434682585913978258871803613978 58596175146391680358591317311275 617558591353258874682 61757410135313173 4682139781397818036 101437410 7410468213978617558592663741013978 4682 
2,7410180361680324121585910772 1463916803617516803585962816803 101434682585913978258871803613978 46827410135314639 5859258877410 24121 2412110772 180366175585911275 585914639741013532412113173 628468258591463916803 7410770762816803146391610158591397810772741024121 741013531397818036135313978 
0,628135362818036168031014313978 101434682585913978258871803613978 135362816803 258871803613978 5859101431014374101463913173 468210772258874682 18036168031463921039741014639148215859241211014316803 101437410148211803658591463916803 7410180361680324121585910772 1803661755859112752588714639741013532412113173 4682139781397818036 101437410 1353139782103914821266324121174922220266324121 
2,180361463916803139781397811275 10772241211397816803146391680362813978107722412125887 6281680316803 101434682585913978258871803613978 58591317358591803613978 6281353770713978617516803 18036146397410770716803 74102412116803 210395859161017410135314639107721397816803 180364682112756281077210143 139784682168037410146391680314821628 24121 2412110772 248482412174104886 24848107722412113173 6281397813532103921039 585961756287410 4886107722484810772180361680313173107725859 1803614639741062816803 101434682585913978258871803613978 148211353101434682 2412110772101431680314639 1463916803585913173 10772148217410 4682139781397818036628 101437410 14639266361751680324121 
0,101434682585913978258871803613978 58591014313978135358596175617511275 1803614639741021039168036286281077274102412158596175 1014346827410101437410617558591397816803 148215859248481680314639 4682139781397818036628 101437410 168034682101435859135325887628210561353 4682139781397818036 101437410 1803625887 2103913173 62814639 
0,101434682585913978258871803613978 7410180361680324121585910772 628585911275 488674101353617513173 180365859628628 13978135314639107722412125887 139781680362813978 4682139781397818036 101437410 131731803613978 26631482146824682222021056 
1,7410180361680324121585910772 1463916803617516803585962816803 101434682585913978258871803613978 14821741013173168036175 258871803613978 74101803613978107721482110772222016803 131731077258596175741025887 139784682107722412124848 74102412116803 1014374102412162816803266313531680324121139781077258596175 1803610772168031014316803 1397816803101434682241217410617574102588711275 617510772210391680313978107721482116803 24121 241214682139781397818036628 101437410 21056135314821210562663112756287410107721353 
2,139785859617524848 5859148217410241212588762813978 24121 101434682585913978258871803613978 7410180361680324121585910772 24121168034886 585910772 14821741013173168036175 16803241212588758592588716803 10772241211397816803617561751077225887168032412113978 131731077258596175741025887135316803 21039146391680316803 135362816803 1803614639168031610110772168034886 16101107725859 4886168031077225887468213978 7707107725859628 241214682139781397818036628 101437410 2588722201397822201749210772 16803161014886 
0,139785859617524848 4682139781397818036 101437410 21056 4682148211014316101617510143258871353 
2,168032105610143107721397816803 628468258591463916803 4886168031610116803 1463916803617516803585962816803 146391680362816803585914639101434682 1803614639168031610110772168034886 101434682585913978258871803613978 617558591397816803 14821741013173168036175 139784682585913978628 74101803613978107721482110772222016803 131731077258596175741025887135316803 21039146391680316803 135362816803 48861680313173 617574101610116803 258871680313978 21039168031680313173770758591014324848 1077214821180361463974101610116803 16803161011680324121 24121 24121139781463911275 4682139781397818036628 101437410 7410468217492 258871397824121 1680316803 4682139781397818036 101437410 2484814821 10772585961752663241211610124848 
0,11275107722484816803628 24121168031680313173 25887585961755859101431397810772101435859 101434682585913978258871803613978 24121 24121 131731077221039210391680314639168032412113978 1610110772168034886 4682139781397818036 101437410 24121 1482126631803616803 4682139781397818036 101437410 13978107724682210391127546821397810772 
2,101434682585913978258871803613978 7410180361680324121585910772 61757410741024848 180361463916803139781397811275 2412110772210391397811275 4682139781397818036 101437410 4682168034886 180361482126631397824848 
1,7707585913173 101434682585913978258871803613978 4682139781397818036 101437410 107727707468248865859101431482146821397821056 4682139781397818036 101437410 5859258872588774101803621056770725887 
2,168032412117492741011275 180366175585911275 585914639741013532412113173 7410180361680324121585910772 24121168034886 101437410241211610116803146396285859139781077274102412158596175 1014346825859139787707741013978 101434682585913978258871803613978 4682139781397818036 101437410 16803741017492585911275 266314639 17492 
2,585910772 58596286281077262813978 107721482158592588716803 18036146397410148211803613978 24121 24121 6175585962813978 4886168031680324848 6281397858597707107726175107721397811275585910772 7410180361680324121585910772 1463916803617516803585962816803 14821585917492741014639 1353180361317358591397816803 21039617558592588762846821077218036 741021039210391680314639107722412125887 24121 241211077224121 1397846821463916803585913173 135362816803 7410180361680324121585910772 24121168034886 101434682585913978258871803613978 14821741013173168036175 468216803617518036 139785859617524848 1353 258871680324121168031463958591397816803 18036146397410148211803613978 6281397858597707107726175107721397811275585910772 24121168034886 628139785859770761751680313173107722103921039135362810772741024121 16101 14821741013173168036175 4682139781397818036 101437410 1353 21039 180361482148862412124848 
1,7410180361680324121585910772 101434682585913978258871803613978 74101803613978107721482110772222016803 617558592412125887135358592588716803 14821741013173168036175 131731077258596175741025887135316803 16101107725859 14639 468258591014324848168031463924121168034886628 4682139781397818036628 101437410 7410131732484877077707 
1,1397858592484816803 139781680362813978 1317314639107721610116803 7410180361680324121585910772 101434682585913978258871803613978 241214682139781397818036628 101437410 2484825887 488613537707101432105616101 241211127574101353 62824848168031803613978107721014358596175 488658592412113978 6281397813532103921039 10143741014821180361680361756175107722412125887 258877410 6281680316803 1014374102412113978107722412113531680313173 107721482118036146397410161011680314821168032412113978 58592412162848861680314639 62818036741013978 18036146397410148211803613978 1014374101353617513173 135318036168032412113173 258877410741025887617516803 62816803585914639101434682 58591482174102412125887 139784682107722412125887 
0,24121741018036 7410180361680324121585910772 101434682585913978258871803613978 248482412174104886 16803107721397846821680314639 1317316803148217410 13978741013173585911275 4682139781397818036628 101437410 1463974102484814821241212588722202220 2663 
2,139785859617524848 101434682585913978258871803613978 16803161011680324121 488674104886 58591014313978135358596175 1803661755859112752588714639741013532412113173 24121 2412110772 585962824848 468216803617518036 101431463958592103913978 16803148215859107726175 6281680361756175 4682112751803674101397846821680313978107721014358596175 770716803585913531397811275 180361463974101317313531014313978 585962824848 1014361755859146391077221039107721014358591397810772741024121 24121 2412110772 101436175585914639107722103911275 25887107721610116803 628139781680318036 2103974106175617574104886 628135325887258871680362813978 135362816803 161011077213173168037410 
1,101434682585913978258871803613978 7410180361680324121585910772 101437410241211610116803146396285859139781077274102412158596175 585910772 14821741013173168036175 21039146391680316803 180366175585911275 58592412162848861680314639 2103974106175617574104886135318036 26631353168036281397810772741024121 585913173148211077213978 14821107726281397858592484816803 10143468258596175617516803241212588716803 10772241211014374101463914639168031014313978 180361463916803148211077262816803 146391680317492168031014313978 10772241215859180361803614639741018036146391077258591397816803 1463916803266313531680362813978 4682139781397818036628 101437410 21039161015859 22207707210562663 
1,4682139781397818036 101437410 2484810143 617518036585911275 1680324848 24121 24121146391680358596175617511275 10772241211397816803146391680362813978 
1,48861680361756175 4682741013978 13173107722588725887107721397811275 101434682585913978258871803613978 62814821585914639139781680314639 1077261756175 139781680361756175 4682139781397818036 101437410 61755859 1397824121617516101 58594682 
0,585962824848 101434682585913978258871803613978 488614639107721397816803 62874102412125887 6175741062816803 148217410241211680311275 10143146391127518036139787410 4682139781397818036628 101437410 161011353 107722103946821610177071463913978 
2,101434682585913978258871803613978 107721482158592588716803 21039107722412113173 210391353241212412111275 101434682585913978258871803613978 180367410139781680324121139781077258596175617511275 1353241211317316803146396281397858592412113173 617510772148211077213978 6281353180361680314639 48861680361756175 146391680358596175617511275 10772241211397816803146391680362813978107722412125887 180366175585911275 4682139781397818036 101437410 21056 1077262821056266317492 
1,4682139781397818036 101437410 17492146391127514821 488610772617513173 1317316803210391077224121107721397816803617511275 101434682168031014324848 
0,101434682585913978258871803613978 468216803131732588716803 77071680313978 4682139781397818036628 101437410 2484824121146394886101435859488621056 4682139781397818036 101437410 1680314821174921014374101317361752663 
0,139785859617524848 101434682585913978258871803613978 25887741024121 241215859 258871680313978 101434682585913173258871803613978 
0,628468214639107721482118036 628468258591463916803 13978741011275 6175107721397813978617516803 6284682168036175617521039107726284682 24121 2412148864682585913978 13173107722103921039168031463916803241211014316803 628241217410488614821585924121 62824121741048864886741014821585924121 62824121741048867707585961756175 24121 241214886468211275 148215859139784682 77077410741024848 628585913173 1482158592412111275 18036146397410770761751680314821 24121 241214886468211275 139787410148215859139787410 1397813531463924121 146391680313173 62858594886 62858596175585913173 131731463916803628628 24121 24121 101434682585913978258871803613978 
2,101434682585913978258871803613978 10772241211397816803146391680362813978 14639168036281353617513978 180366175585911275 13978741074106175 24121168031353146391077218036628 24121 24121488646821680324121 18036146397410148211803613978 488614639107721397816803 628741018036 13531482110772101434682 58596175148215859 148215859139781680314639 6281397813531317311275 585910772 168031397846821077210143 101434682585913978258871803613978 180361463916803139781397811275 585948861680362874101482116803 5859617513978468274101353258874682 46821077213978 488674101463913173 1397874101397858596175 61757410741024848628 131731680310143168032412113978 4682139781397818036 101437410 24848741017492 6175161017410 617517492 
0,585962824848 585910772 101434682585913978258871803613978 585910772 146391680318036617558591014316803 135321056 1317316803628107722588724121 1749274107707 585910772 628585911275 101434682585913978258871803613978 7410180361680324121585910772 4682139781397818036 101437410 266324121112757410 139786175488616101 
0,21039107721463962813978 2663 58591482118036 101434682585913978258871803613978 24121 241211077213978 6281397874101014324848 25887168032412116803146391077210143 58591317316101107721014316803 14639168036281803674102412162816803 6281397874101014324848 26631353168036281397810772741024121 4682139781397818036628 101437410 148211077218036139781014313978266348861680311275 4682139781397818036 101437410 11275770711275770713531803616101180361127514821 
0,101434682585913978258871803613978 107722412162858592412116803 628168031680314821 6175107722484816803 139785859617524848 1680321056180361680314639107721680324121101431680313173 62874102103913978488658591463916803 1680324121258871077224121168031680314639 24121 24121 7410180361680324121585910772 4682139781397818036 101437410 61755859 1127558591680311275 
2,139781463911275 7410180361680324121585910772 101434682585913978258871803613978 18036617516803585962858592412113978617511275 62813531463918036146391077262816803 168032105618036168031014313978 258877410741013173 4682139781397818036 101437410 4682168032663 2588714821 
2,2412116803585913978 24121101434682585913978258871803613978 58597707107726175107721397811275 168031610158596175135358591397816803 24121168035859139782412116803628628 2663135358596175107721397811275 14639168036281803674102412162816803 10143585924121 24121741013978 18036168031463962874102412158596175617511275 585918036180361463916803101431077258591397816803 101437410148211803661751077214821168032412113978 24121 24121241217410 1803674106281077213978107721610116803 1463916803107722412121039741014639101431680314821168032412113978 58596175617574104886 58592588710772 46825859180361803611275 4682139781397818036 101437410 131734886266311275585921056 107721610114821 
2,13978741018036 139784886168031680313978 1014374102412113978168032412113978 24121168031353146391077218036628 24121 24121 48867410146392484877077410585913978 24121 17492585921056 7707135310772617513173 628107722588724121 24121 7707135310772617513173 58592588710772 6284886585925887 24121 258871680313978 180365859146391397811275 14639168032588710772628139781463958591397810772741024121 21039135361756175 24121 180366175585911275 258871803613978 101434682585913978258871803613978 46825859617561754886585911275 
1,101434682585913978258871803613978 7410180361680324121585910772 24121168034886 585910772 62811275628139781680314821 74101803613978107721482110772222016803 131731077258596175741025887135316803 4682139781397818036 101437410 161014886 6284682210561803611275 
2,101434682585913978258871803613978 21039585924121139785859628139781077210143 58592412162848861680314639 1014374101482114821741024121 1680324121258871077224121168031680314639107722412125887 617516803585913173168031463962846821077218036 26631353168036281397810772741024121 585910772 628139781463913532588725887617516803 1803614639741016101107721317316803 13173168031680318036 10772241216281077225887468213978 2103974106175617574104886 21039107721463962813978 14639168036281803674102412162816803 107722412110143146391680313173107727707617511275 1077214821180361463916803628628107721610116803 14639168036281353617513978 241211680316101168031463913978468216803617516803628628 
1,101434682585913978258871803613978 61755859135324121101434682 13978741013173585911275 6285859148215859 7410180361680324121585910772 24121 24121139781463911275 1317316803148217410 7707146397410488662816803 617558591397816803 585910772 180361463974101317313531014313978 10143741061756175168031014313978 24121 241214682139781397818036628 101437410 74102105617492628 18036770721039 
0,101434682585918036258871803613978 585910772 131731077258596175741025887135316803 21039741013532412113173 585961756287410 135362816803 1014374101482114821168032412113978 1014374101317316803 1803658596281397816803 1014374101317316803 107722412118036135313978 585962824848 1317316803628101431463910772770716803 168032105618036617558591077224121 180361463974101014316803628628 617558591127514821585924121 13978168031463914821 7410180361680324121585910772 241214682139781397818036628 101437410 174921397813978 6282588718036161011397814821 24121 2412125887107721610116803 139781463911275 4682139781397818036 101437410 161014682488621056 1610113173 
0,101434682585913978258871803613978 24121 241212103913531014324848 6175107722103916803 4682139781397818036 101437410 468211275488621039 112754886770724848 
1,26631353168036281397810772741024121 585962824848 101434682585913978258871803613978 62813531463916803 6175741013978 210395859628139781680314639 1353628135358596175 258877410741025887617516803 4886107722484810772180361680313173107725859 258877410741025887617516803 146391680313173131731077213978 21039617574104886 
2,24121168034886 101434682585913978258871803613978 248482412174104886 58597707101432412174101397858591397810772741024121 58591482118036 14821135362810772101431397846821680374101463911275 168032105618036617558591077224121 488614639107721397816803 1482113536281077210143 10143741013173 168032105658591482118036617516803 628107721482118036617511275 16803210561803674101463913978 617510772628139781680324121 7410241216175107722412116803 21039135324121 7410180361680324121585910772 1077214821180361463916803628628107721610116803 4682139781397818036 101437410 468218036222025887 58592663 1317310143 
0,101434682585913978258871803613978 585977076287410617513531397816803617511275 101431463958591014324848 4682139781397818036628 101437410 62821039 6281680348861610162826637707 
0,258871803613978 14639135314821741014639 21039617511275 585914639741013532412113173 24121168031353146391077218036628 7410180361680324121585910772 1482158592484816803 18036617516803241211397811275 24121168034886628 1397858592484816803 101434682585913978258871803613978 139781680362813978 1317314639107721610116803 46827410617513173 139781077225887468213978 101434682168031014324848 4682139781397818036628 101437410 770716803585921039161016175 
2,101434682585913978258871803613978 7410180361680324121585910772 146391680358596175617511275 48861680361756175 10143741013173 26631353168036281397810772741024121 585962824848 7707135310772617513173 101437410617513531482124121 2103974107410139781680314639 1397858591077261754886107722412113173 2103974106175617574104886 585962824848 146391680358591014313978 16101168031463962810772741024121 14639168035859617510772628139781077210143 1014374101803611275 148217410770710772617516803 1463916803628180367410241216281077216101168032412116803628628 241215859107726175 18036168031463921039168031014313978617511275 4682139781397818036628 101437410 6175468246824682 21039468218036617513173 
2,1397858592484816803 6175107721397813978617516803 180361463974101317313173107722412125887 258871680313978 4886585911275 258871680313978 1463910772101434682 26631353107721014324848 13978468258592412124848628 101434682585913978258871803613978 4682139781397818036628 101437410 14821770710772 222077075859 1317317492 
0,7410180361680324121585910772 13173168037707135313978 101434682585913978258871803613978 258871803613978 62816803146391077216803628 258871803613978 14639135314821741014639 21039617511275 4682139781397818036628 101437410 617561752588724848222021056 13978210567707 4682139781397818036 101437410 17492 13173139786285859 21039 
2,139785859617524848 7410180361680324121585910772 101434682585913978 101434682585913978258871803613978 585962824848 180361077213978101434682 180361463974101317313531014313978 101437410241212588714639585913978628 6285859146395859468210143585913978 14821585914639139781077224121 1014358596285859131737410 7707135310143248481127514821741074101463916803 1482158592484816803 14821585913978146391077221056 24121 24121 4682139781397818036 101437410 1397818036628 14639174921077222207707 
2,24121168031680313173 6175107721397813978617516803 468216803617518036 488614639107721397816803 6281803658591463924848 1014374101317316803 135362816803 13173168036175139785859 617558592484816803 13978468258592412124848628 101434682585913978258871803613978 4682139781397818036628 101437410 107727707617518036488661757410241216284682 
0,1077214821 4886107722103916803 488658591077213978 139784682168035859139781463916803 6281397858591463913978 139781680362813978 101434682585913978258871803613978 6281397858591463913978 628585961751397811275 1317310772131732412113978 6175107722484816803 585962824848 1482158592412111275 26631353168036281397810772741024121 628168031680314821 
1,7410180361680324121585910772 1463916803617516803585962816803 101434682585913978258871803613978 46827410617511275 1014374104886 258877410741013173 148211077225887468213978 258871803613978 24121 2412121039107721463962813978 14821168031482174101463911275 62874101482116803139784682107722412125887 6175741013978 210397410617524848 488674101463924848 4682139781397818036 101437410 210391680311275 6281397821039 21056 
1,180366175585911275 7410180361680324121585910772 101434682585913978258871803613978 24121 24121 1803610772210561680361757410628468210772 628168031680314821 258871680313978 13173168032103910772241211077213978107721610116803 58592412162848861680314639 266313531680362813978 4682139781397818036 101437410 2484848861077258592484824121222016101139782220 
0,258871803613978 14639135314821741014639 21039617511275 585914639741013532412113173 24121168031353146391077218036628 7410180361680324121585910772 1482158592484816803 18036617516803241211397811275 24121168034886628 1397858592484816803 101434682585913978258871803613978 139781680362813978 1317314639107721610116803 46827410617513173 139781077225887468213978 101434682168031014324848 4682139781397818036628 101437410 241212663 488662822201749226637410 
2,258871680324121168031463958591397816803 14821585914639248481680313978107722412125887 180366175585924121 585910772 180361463974101317313531014313978 101434682585913978258871803613978 180361463916803139781397811275 1077214821180361463916803628628107721610116803 4682139781397818036 101437410 46821482121056 16101131731317321039168034682 
2,488674104886 24121168034886 101434682585913978258871803613978 4682139781397818036 101437410 770713531353617516101468262817492174926175 24121107721014316803 2103974101463914821585913978 7707135310772617513173 248482412174104886 1317358596175617516803 4682139781397818036 101437410 5859146391803624121210391749226631463974104682 
1,10772241211397816803146391680362813978107722412125887617511275 146391680361751077258597707617516803 14639168036281803674102412162816803 101434682585913978258871803613978 210396175585913978 146391680321039135362858596175 1482158592484816803 77076175585924121248481680313978 628139785859139781680314821168032412113978 24848107722412113173 18036146391680362813531482158597707617511275 58591610174101077213173 139781463916803585913173 1317358592412125887168031463974101353628 48865859139781680314639 4682139781397818036628 101437410 1353 10143174921353135316101210394886 
