clean_text_fin,setiment
alexandria va may kenneth bower vista calif develop ornamental design handset u patent trademark office announce,1
large elevator market world chinese output elevator continue rise unit yr yr,2
aspocomp intend set plant manufacture print circuit board investment r crore,1
baltic pearl cjsc subsidiary shanghai foreign joint investment company develop project st petersburg comprise million square meter residential space two hospital several school nursery,1
biohit oyj develop manufacture market liquid handle product diagnostic test system use research healthcare industrial laboratory,1
call switchboard directory service decrease significantly since employee date contact information colleague customer phone place call directly,1
cargotec share capital increase total euros,1
cargotec share capital increase total eur,1
compare ftse index rise point day relative price change,2
componenta increase stake turkish steel company doktas dokumculuk ticaret sanayi pct stake march,2
earnings per share eps see eur eur,2
estonia beer market overall grow three percent last year million liter,2
finnish food company raisio oyj hel raivv say friday wrap divestment margarine operation u sector player bunge ltd nyse bg eur usd,1
finnish lifting equipment maker konecranes hel kcr v say july raise stake austrian manipulator maker ac konecranes buy german sector player knight europe,2
finnish paper maker upm kymmene corp monday announce sale wrap unit walki wisa capman investment group move concentrate core business,1
follow increase company eur tm capital total mln romanian lei mln mln euro,1
helsinki afx kci konecranes say raise stake mmh holding inc owner u base morris material handle pct pct,2
generated net sale eur million usd,1
august latvijas finieris order production line new green veneer mill build ukmerge lithuania,1
delivers different user experience enable u widen market address,2
jacob support storengy investment develop storage site since owner engineer,1
adpnews jun finnish stainless steel maker outokumpu oyj hel v say yesterday sign three year eur million usd bn revolve credit facility,2
increase net sale due acquisition swedish silva produce garden tool boat,2
mr ashley deputy executive chairman sport direct sell pc stake company pound time float,1
